date,type_of_data,Variable,Value
2020-06-10,prices,Opening Price,27251.890625
2020-06-11,prices,Opening Price,26282.509766
2020-06-12,prices,Opening Price,25659.419922
2020-06-15,prices,Opening Price,25270.390625
2020-06-16,prices,Opening Price,26326.679688
2020-06-17,prices,Opening Price,26330.519531
2020-06-18,prices,Opening Price,26016.449219
2020-06-19,prices,Opening Price,26213.099609
2020-06-22,prices,Opening Price,25865.080078
2020-06-23,prices,Opening Price,26159.390625
2020-06-24,prices,Opening Price,25992.960938
2020-06-25,prices,Opening Price,25365.220703
2020-06-26,prices,Opening Price,25641.689453
2020-06-29,prices,Opening Price,25152.449219
2020-06-30,prices,Opening Price,25512.429688
2020-07-01,prices,Opening Price,25879.380859
2020-07-02,prices,Opening Price,25936.449219
2020-07-06,prices,Opening Price,25996.080078
2020-07-07,prices,Opening Price,26172.009766
2020-07-08,prices,Opening Price,25950.060547
2020-07-09,prices,Opening Price,26094.919922
2020-07-10,prices,Opening Price,25690.349609
2020-07-13,prices,Opening Price,26225.070313
2020-07-14,prices,Opening Price,26044.169922
2020-07-15,prices,Opening Price,27009.810547
2020-07-16,prices,Opening Price,26746.570313
2020-07-17,prices,Opening Price,26774.619141
2020-07-20,prices,Opening Price,26660.289063
2020-07-21,prices,Opening Price,26833.140625
2020-07-22,prices,Opening Price,26824.560547
2020-07-23,prices,Opening Price,26955.970703
2020-07-24,prices,Opening Price,26533.410156
2020-07-27,prices,Opening Price,26447.669922
2020-07-28,prices,Opening Price,26529.449219
2020-07-29,prices,Opening Price,26388.439453
2020-07-30,prices,Opening Price,26367.419922
2020-07-31,prices,Opening Price,26409.330078
2020-08-03,prices,Opening Price,26542.320313
2020-08-04,prices,Opening Price,26664.609375
2020-08-05,prices,Opening Price,26924.779297
2020-08-06,prices,Opening Price,27170.820313
2020-08-07,prices,Opening Price,27321.679688
2020-08-10,prices,Opening Price,27488.210938
2020-08-11,prices,Opening Price,27961.640625
2020-08-12,prices,Opening Price,27860.240234
2020-08-13,prices,Opening Price,27922.509766
2020-08-14,prices,Opening Price,27828.929688
2020-08-17,prices,Opening Price,27970.050781
2020-08-18,prices,Opening Price,27853.480469
2020-08-19,prices,Opening Price,27811.259766
2020-08-20,prices,Opening Price,27622.679688
2020-08-21,prices,Opening Price,27758.130859
2020-08-24,prices,Opening Price,28077.580078
2020-08-25,prices,Opening Price,28347.419922
2020-08-26,prices,Opening Price,28257.880859
2020-08-27,prices,Opening Price,28384.070313
2020-08-28,prices,Opening Price,28601.289063
2020-08-31,prices,Opening Price,28643.660156
2020-09-01,prices,Opening Price,28439.609375
2020-09-02,prices,Opening Price,28736.789063
2020-09-03,prices,Opening Price,29090.699219
2020-09-04,prices,Opening Price,28341.050781
2020-09-08,prices,Opening Price,27925.230469
2020-09-09,prices,Opening Price,27711.710938
2020-09-10,prices,Opening Price,28022.509766
2020-09-11,prices,Opening Price,27613.859375
2020-09-14,prices,Opening Price,27718.740234
2020-09-15,prices,Opening Price,28139.759766
2020-09-16,prices,Opening Price,28031.689453
2020-09-17,prices,Opening Price,27834.179688
2020-09-18,prices,Opening Price,27864.869141
2020-09-21,prices,Opening Price,27484.710938
2020-09-22,prices,Opening Price,27170.339844
2020-09-23,prices,Opening Price,27413.599609
2020-09-24,prices,Opening Price,26716.089844
2020-09-25,prices,Opening Price,26694.509766
2020-09-28,prices,Opening Price,27362.140625
2020-09-29,prices,Opening Price,27560.240234
2020-09-30,prices,Opening Price,27514.640625
2020-10-01,prices,Opening Price,27940.630859
2020-10-02,prices,Opening Price,27536.390625
2020-10-05,prices,Opening Price,27825.419922
2020-10-06,prices,Opening Price,28214.240234
2020-10-07,prices,Opening Price,27971.359375
2020-10-08,prices,Opening Price,28348.859375
2020-10-09,prices,Opening Price,28533.609375
2020-10-12,prices,Opening Price,28671.119141
2020-10-13,prices,Opening Price,28764.949219
2020-10-14,prices,Opening Price,28731.300781
2020-10-15,prices,Opening Price,28323.400391
2020-10-16,prices,Opening Price,28570.720703
2020-10-19,prices,Opening Price,28633.550781
2020-10-20,prices,Opening Price,28245.849609
2020-10-21,prices,Opening Price,28270.660156
2020-10-22,prices,Opening Price,28197.419922
2020-10-23,prices,Opening Price,28409.650391
2020-10-26,prices,Opening Price,28185.820313
2020-10-27,prices,Opening Price,27651.179688
2020-10-28,prices,Opening Price,27102.140625
2020-10-29,prices,Opening Price,26480.980469
2020-10-30,prices,Opening Price,26572.269531
2020-11-02,prices,Opening Price,26691.279297
2020-11-03,prices,Opening Price,27138.689453
2020-11-04,prices,Opening Price,27512.830078
2020-11-05,prices,Opening Price,28083.369141
2020-11-06,prices,Opening Price,28399.130859
2020-11-09,prices,Opening Price,29467.900391
2020-11-10,prices,Opening Price,29254.169922
2020-11-11,prices,Opening Price,29524.349609
2020-11-12,prices,Opening Price,29231.910156
2020-11-13,prices,Opening Price,29203.900391
2020-11-16,prices,Opening Price,29672.359375
2020-11-17,prices,Opening Price,29800.150391
2020-11-18,prices,Opening Price,29875.400391
2020-11-19,prices,Opening Price,29370.919922
2020-11-20,prices,Opening Price,29437.570313
2020-11-23,prices,Opening Price,29332.820313
2020-11-24,prices,Opening Price,29746.109375
2020-11-25,prices,Opening Price,30058.869141
2020-11-27,prices,Opening Price,29911.330078
2020-11-30,prices,Opening Price,29854.509766
2020-12-01,prices,Opening Price,29797.5
2020-12-02,prices,Opening Price,29695.089844
2020-12-03,prices,Opening Price,29920.830078
2020-12-04,prices,Opening Price,29989.560547
2020-12-07,prices,Opening Price,30233.029297
2020-12-08,prices,Opening Price,29997.949219
2020-12-09,prices,Opening Price,30229.810547
2020-12-10,prices,Opening Price,30032.550781
2020-12-11,prices,Opening Price,29988.210938
2020-12-14,prices,Opening Price,30123.910156
2020-12-15,prices,Opening Price,29919.089844
2020-12-16,prices,Opening Price,30191.380859
2020-12-17,prices,Opening Price,30216
2020-12-18,prices,Opening Price,30314.259766
2020-12-21,prices,Opening Price,30159
2020-12-22,prices,Opening Price,30200.199219
2020-12-23,prices,Opening Price,30046.730469
2020-12-24,prices,Opening Price,30155.919922
2020-12-28,prices,Opening Price,30283.230469
2020-12-29,prices,Opening Price,30492.070313
2020-12-30,prices,Opening Price,30415.089844
2020-12-31,prices,Opening Price,30417.640625
2021-01-04,prices,Opening Price,30627.470703
2021-01-05,prices,Opening Price,30204.25
2021-01-06,prices,Opening Price,30362.779297
2021-01-07,prices,Opening Price,30901.179688
2021-01-08,prices,Opening Price,31069.580078
2021-01-11,prices,Opening Price,31015.369141
2021-01-12,prices,Opening Price,31015.009766
2021-01-13,prices,Opening Price,31084.880859
2021-01-14,prices,Opening Price,31085.669922
2021-01-15,prices,Opening Price,30926.769531
2021-01-19,prices,Opening Price,30887.419922
2021-01-20,prices,Opening Price,31017.539063
2021-01-21,prices,Opening Price,31198.009766
2021-01-22,prices,Opening Price,31141.560547
2021-01-25,prices,Opening Price,30989.849609
2021-01-26,prices,Opening Price,30968.550781
2021-01-27,prices,Opening Price,30893.779297
2021-01-28,prices,Opening Price,30377.189453
2021-01-29,prices,Opening Price,30553.910156
2021-02-01,prices,Opening Price,30054.730469
2021-02-02,prices,Opening Price,30276.880859
2021-02-03,prices,Opening Price,30689.650391
2021-02-04,prices,Opening Price,30737.779297
2021-02-05,prices,Opening Price,31093.810547
2021-02-08,prices,Opening Price,31191.199219
2021-02-09,prices,Opening Price,31359.880859
2021-02-10,prices,Opening Price,31428.019531
2021-02-11,prices,Opening Price,31466.490234
2021-02-12,prices,Opening Price,31420.800781
2021-02-16,prices,Opening Price,31472.080078
2021-02-17,prices,Opening Price,31485.609375
2021-02-18,prices,Opening Price,31558.599609
2021-02-19,prices,Opening Price,31504.130859
2021-02-22,prices,Opening Price,31381.119141
2021-02-23,prices,Opening Price,31501.890625
2021-02-24,prices,Opening Price,31499.75
2021-02-25,prices,Opening Price,31955.939453
2021-02-26,prices,Opening Price,31401.289063
2021-03-01,prices,Opening Price,31065.900391
2021-03-02,prices,Opening Price,31535.369141
2021-03-03,prices,Opening Price,31352.960938
2021-03-04,prices,Opening Price,31289.009766
2021-03-05,prices,Opening Price,31029.179688
2021-03-08,prices,Opening Price,31512.150391
2021-03-09,prices,Opening Price,31892.349609
2021-03-10,prices,Opening Price,31906.960938
2021-03-11,prices,Opening Price,32354.5
2021-03-12,prices,Opening Price,32462.400391
2021-03-15,prices,Opening Price,32798.839844
2021-03-16,prices,Opening Price,32966.75
2021-03-17,prices,Opening Price,32825.519531
2021-03-18,prices,Opening Price,32928.160156
2021-03-19,prices,Opening Price,32858.359375
2021-03-22,prices,Opening Price,32601.820313
2021-03-23,prices,Opening Price,32691.5
2021-03-24,prices,Opening Price,32470.880859
2021-03-25,prices,Opening Price,32346.810547
2021-03-26,prices,Opening Price,32681.070313
2021-03-29,prices,Opening Price,33087.550781
2021-03-30,prices,Opening Price,33127.878906
2021-03-31,prices,Opening Price,33116.039063
2021-04-01,prices,Opening Price,33054.578125
2021-04-05,prices,Opening Price,33222.378906
2021-04-06,prices,Opening Price,33500.019531
2021-04-07,prices,Opening Price,33444.980469
