date,type_of_data,Variable,Value
2020-06-10,prices,Opening Price,3213.419922
2020-06-11,prices,Opening Price,3123.530029
2020-06-12,prices,Opening Price,3071.040039
2020-06-15,prices,Opening Price,2993.76001
2020-06-16,prices,Opening Price,3131
2020-06-17,prices,Opening Price,3136.129883
2020-06-18,prices,Opening Price,3101.639893
2020-06-19,prices,Opening Price,3140.290039
2020-06-22,prices,Opening Price,3094.419922
2020-06-23,prices,Opening Price,3138.699951
2020-06-24,prices,Opening Price,3114.399902
2020-06-25,prices,Opening Price,3046.600098
2020-06-26,prices,Opening Price,3073.199951
2020-06-29,prices,Opening Price,3018.590088
2020-06-30,prices,Opening Price,3050.199951
2020-07-01,prices,Opening Price,3105.919922
2020-07-02,prices,Opening Price,3143.639893
2020-07-06,prices,Opening Price,3155.290039
2020-07-07,prices,Opening Price,3166.439941
2020-07-08,prices,Opening Price,3153.070068
2020-07-09,prices,Opening Price,3176.169922
2020-07-10,prices,Opening Price,3152.469971
2020-07-13,prices,Opening Price,3205.080078
2020-07-14,prices,Opening Price,3141.110107
2020-07-15,prices,Opening Price,3225.97998
2020-07-16,prices,Opening Price,3208.360107
2020-07-17,prices,Opening Price,3224.209961
2020-07-20,prices,Opening Price,3224.290039
2020-07-21,prices,Opening Price,3268.52002
2020-07-22,prices,Opening Price,3254.860107
2020-07-23,prices,Opening Price,3271.639893
2020-07-24,prices,Opening Price,3218.580078
2020-07-27,prices,Opening Price,3219.840088
2020-07-28,prices,Opening Price,3234.27002
2020-07-29,prices,Opening Price,3227.219971
2020-07-30,prices,Opening Price,3231.76001
2020-07-31,prices,Opening Price,3270.449951
2020-08-03,prices,Opening Price,3288.26001
2020-08-04,prices,Opening Price,3289.919922
2020-08-05,prices,Opening Price,3317.370117
2020-08-06,prices,Opening Price,3323.169922
2020-08-07,prices,Opening Price,3340.050049
2020-08-10,prices,Opening Price,3356.040039
2020-08-11,prices,Opening Price,3370.340088
2020-08-12,prices,Opening Price,3355.459961
2020-08-13,prices,Opening Price,3372.949951
