Name,ticker,date,Variable,Value,timehorizon
Apple,AAPL,2020-06-01,Adjusted Price,79.923965,1Y
Apple,AAPL,2020-06-02,Adjusted Price,80.293968,1Y
Apple,AAPL,2020-06-03,Adjusted Price,80.735992,1Y
Apple,AAPL,2020-06-04,Adjusted Price,80.04068,1Y
Apple,AAPL,2020-06-05,Adjusted Price,82.320328,1Y
Apple,AAPL,2020-06-08,Adjusted Price,82.807037,1Y
Apple,AAPL,2020-06-09,Adjusted Price,85.421921,1Y
Apple,AAPL,2020-06-10,Adjusted Price,87.619614,1Y
Apple,AAPL,2020-06-11,Adjusted Price,83.412964,1Y
Apple,AAPL,2020-06-12,Adjusted Price,84.133095,1Y
Apple,AAPL,2020-06-15,Adjusted Price,85.173584,1Y
Apple,AAPL,2020-06-16,Adjusted Price,87.430885,1Y
Apple,AAPL,2020-06-17,Adjusted Price,87.309204,1Y
Apple,AAPL,2020-06-18,Adjusted Price,87.343979,1Y
Apple,AAPL,2020-06-19,Adjusted Price,86.844833,1Y
Apple,AAPL,2020-06-22,Adjusted Price,89.117027,1Y
Apple,AAPL,2020-06-23,Adjusted Price,91.019203,1Y
Apple,AAPL,2020-06-24,Adjusted Price,89.412537,1Y
Apple,AAPL,2020-06-25,Adjusted Price,90.599533,1Y
Apple,AAPL,2020-06-26,Adjusted Price,87.815788,1Y
Apple,AAPL,2020-06-29,Adjusted Price,89.839653,1Y
Apple,AAPL,2020-06-30,Adjusted Price,90.5896,1Y
Apple,AAPL,2020-07-01,Adjusted Price,90.418251,1Y
Apple,AAPL,2020-07-02,Adjusted Price,90.418251,1Y
Apple,AAPL,2020-07-06,Adjusted Price,92.83696,1Y
Apple,AAPL,2020-07-07,Adjusted Price,92.548889,1Y
Apple,AAPL,2020-07-08,Adjusted Price,94.704369,1Y
Apple,AAPL,2020-07-09,Adjusted Price,95.111641,1Y
Apple,AAPL,2020-07-10,Adjusted Price,95.278015,1Y
Apple,AAPL,2020-07-13,Adjusted Price,94.83847,1Y
Apple,AAPL,2020-07-14,Adjusted Price,96.407898,1Y
Apple,AAPL,2020-07-15,Adjusted Price,97.07093,1Y
Apple,AAPL,2020-07-16,Adjusted Price,95.876472,1Y
Apple,AAPL,2020-07-17,Adjusted Price,95.682777,1Y
Apple,AAPL,2020-07-20,Adjusted Price,97.699188,1Y
Apple,AAPL,2020-07-21,Adjusted Price,96.350784,1Y
Apple,AAPL,2020-07-22,Adjusted Price,96.621452,1Y
Apple,AAPL,2020-07-23,Adjusted Price,92.223587,1Y
Apple,AAPL,2020-07-24,Adjusted Price,91.995125,1Y
Apple,AAPL,2020-07-27,Adjusted Price,94.17543,1Y
Apple,AAPL,2020-07-28,Adjusted Price,92.628365,1Y
Apple,AAPL,2020-07-29,Adjusted Price,94.403893,1Y
Apple,AAPL,2020-07-30,Adjusted Price,95.546204,1Y
Apple,AAPL,2020-07-31,Adjusted Price,105.548805,1Y
Apple,AAPL,2020-08-03,Adjusted Price,108.208389,1Y
Apple,AAPL,2020-08-04,Adjusted Price,108.931015,1Y
Apple,AAPL,2020-08-05,Adjusted Price,109.325851,1Y
Apple,AAPL,2020-08-06,Adjusted Price,113.140152,1Y
Apple,AAPL,2020-08-07,Adjusted Price,110.567833,1Y
Apple,AAPL,2020-08-10,Adjusted Price,112.174911,1Y
Apple,AAPL,2020-08-11,Adjusted Price,108.838837,1Y
Apple,AAPL,2020-08-12,Adjusted Price,112.456024,1Y
Apple,AAPL,2020-08-13,Adjusted Price,114.446213,1Y
Apple,AAPL,2020-08-14,Adjusted Price,114.344223,1Y
Apple,AAPL,2020-08-17,Adjusted Price,114.045685,1Y
Apple,AAPL,2020-08-18,Adjusted Price,114.99601,1Y
Apple,AAPL,2020-08-19,Adjusted Price,115.140297,1Y
Apple,AAPL,2020-08-20,Adjusted Price,117.695213,1Y
Apple,AAPL,2020-08-21,Adjusted Price,123.760338,1Y
Apple,AAPL,2020-08-24,Adjusted Price,125.24054,1Y
Apple,AAPL,2020-08-25,Adjusted Price,124.213104,1Y
Apple,AAPL,2020-08-26,Adjusted Price,125.902283,1Y
Apple,AAPL,2020-08-27,Adjusted Price,124.397202,1Y
Apple,AAPL,2020-08-28,Adjusted Price,124.195694,1Y
Apple,AAPL,2020-08-31,Adjusted Price,128.40744,1Y
Apple,AAPL,2020-09-01,Adjusted Price,133.522247,1Y
Apple,AAPL,2020-09-02,Adjusted Price,130.755875,1Y
