date,type_of_data,firm,Variable,Value
2020-06-01,prices,VCN,Opening Price,30.74
2020-06-02,prices,VCN,Opening Price,30.969999
2020-06-03,prices,VCN,Opening Price,31.440001
2020-06-04,prices,VCN,Opening Price,31.52
2020-06-05,prices,VCN,Opening Price,31.950001
2020-06-08,prices,VCN,Opening Price,32.330002
2020-06-09,prices,VCN,Opening Price,32.080002
2020-06-10,prices,VCN,Opening Price,32.139999
2020-06-11,prices,VCN,Opening Price,31.190001
2020-06-12,prices,VCN,Opening Price,31.25
2020-06-15,prices,VCN,Opening Price,30.379999
2020-06-16,prices,VCN,Opening Price,31.83
2020-06-17,prices,VCN,Opening Price,31.559999
2020-06-18,prices,VCN,Opening Price,31.139999
2020-06-19,prices,VCN,Opening Price,31.65
2020-06-22,prices,VCN,Opening Price,31.1
2020-06-23,prices,VCN,Opening Price,31.42
2020-06-24,prices,VCN,Opening Price,31.02
2020-06-25,prices,VCN,Opening Price,30.57
2020-06-26,prices,VCN,Opening Price,30.91
2020-06-29,prices,VCN,Opening Price,30.620001
2020-06-30,prices,VCN,Opening Price,30.82
2020-07-02,prices,VCN,Opening Price,31.540001
2020-07-03,prices,VCN,Opening Price,31.4
2020-07-06,prices,VCN,Opening Price,31.65
2020-07-07,prices,VCN,Opening Price,31.299999
2020-07-08,prices,VCN,Opening Price,31.379999
2020-07-09,prices,VCN,Opening Price,31.4
2020-07-10,prices,VCN,Opening Price,31.290001
2020-07-13,prices,VCN,Opening Price,31.709999
2020-07-14,prices,VCN,Opening Price,31.370001
2020-07-15,prices,VCN,Opening Price,32.139999
2020-07-16,prices,VCN,Opening Price,32.07
2020-07-17,prices,VCN,Opening Price,32.290001
2020-07-20,prices,VCN,Opening Price,32.369999
2020-07-21,prices,VCN,Opening Price,32.73
2020-07-22,prices,VCN,Opening Price,32.509998
2020-07-23,prices,VCN,Opening Price,32.5
2020-07-24,prices,VCN,Opening Price,32.139999
2020-07-27,prices,VCN,Opening Price,32.330002
2020-07-28,prices,VCN,Opening Price,32.48
2020-07-29,prices,VCN,Opening Price,32.77
2020-07-30,prices,VCN,Opening Price,32.439999
2020-07-31,prices,VCN,Opening Price,32.830002
2020-08-04,prices,VCN,Opening Price,32.75
2020-08-05,prices,VCN,Opening Price,33.110001
2020-08-06,prices,VCN,Opening Price,33.299999
2020-08-07,prices,VCN,Opening Price,33.32
2020-08-10,prices,VCN,Opening Price,33.450001
2020-08-11,prices,VCN,Opening Price,33.43
2020-08-12,prices,VCN,Opening Price,33.509998
2020-08-13,prices,VCN,Opening Price,33.369999
2020-08-14,prices,VCN,Opening Price,33.200001
2020-08-17,prices,VCN,Opening Price,33.59
2020-08-18,prices,VCN,Opening Price,33.66
2020-08-19,prices,VCN,Opening Price,33.48
2020-08-20,prices,VCN,Opening Price,33.330002
2020-08-21,prices,VCN,Opening Price,33.369999
2020-08-24,prices,VCN,Opening Price,33.5
2020-08-25,prices,VCN,Opening Price,33.529999
2020-08-26,prices,VCN,Opening Price,33.57
2020-08-27,prices,VCN,Opening Price,33.939999
2020-08-28,prices,VCN,Opening Price,33.900002
2020-08-31,prices,VCN,Opening Price,33.68
2020-09-01,prices,VCN,Opening Price,33.360001
2020-09-02,prices,VCN,Opening Price,33.77
2020-09-03,prices,VCN,Opening Price,33.650002
2020-09-04,prices,VCN,Opening Price,33.259998
2020-09-08,prices,VCN,Opening Price,32.41
2020-09-09,prices,VCN,Opening Price,32.790001
2020-09-10,prices,VCN,Opening Price,33.200001
2020-09-11,prices,VCN,Opening Price,32.810001
2020-09-14,prices,VCN,Opening Price,32.93
2020-09-15,prices,VCN,Opening Price,33.220001
2020-09-16,prices,VCN,Opening Price,33.290001
2020-09-17,prices,VCN,Opening Price,32.490002
