ticker,date,price.open,price.high,price.low,price.close,price.adjusted,volume,company_name
AAL,2020-06-10,17.690001,18.16,15.92,17.02,17.02,163952500,American Airlines Group Inc
AAL,2020-06-11,14.61,15.68,14.07,14.38,14.38,124220800,American Airlines Group Inc
AAL,2020-06-12,16.82,17.309999,15.67,16.74,16.74,161101800,American Airlines Group Inc
AAL,2020-06-15,15.27,17.17,15.08,16.700001,16.700001,122904100,American Airlines Group Inc
AAL,2020-06-16,18.360001,18.440001,16.549999,17.030001,17.030001,127369700,American Airlines Group Inc
AAL,2020-06-17,16.76,17.049999,16.16,16.98,16.98,71706700,American Airlines Group Inc
AAL,2020-06-18,16.370001,17.07,16.280001,16.49,16.49,64265300,American Airlines Group Inc
AAL,2020-06-19,16.889999,16.940001,15.42,16,16,92320200,American Airlines Group Inc
AAL,2020-06-22,14.9,15.52,14.72,14.92,14.92,118994500,American Airlines Group Inc
AAL,2020-06-23,13.76,14.29,13.71,14,14,204022300,American Airlines Group Inc
AAL,2020-06-24,13.59,13.9,12.83,13.04,13.04,140975500,American Airlines Group Inc
AAL,2020-06-25,12.53,13.24,12.18,13.17,13.17,117383400,American Airlines Group Inc
AAL,2020-06-26,13.2,13.29,12.13,12.38,12.38,108813000,American Airlines Group Inc
AAL,2020-06-29,12.57,13.51,12.02,13.32,13.32,115051100,American Airlines Group Inc
AAL,2020-06-30,13.1,13.48,12.88,13.07,13.07,69607700,American Airlines Group Inc
AAL,2020-07-01,13.48,14.29,12.63,12.81,12.81,116661700,American Airlines Group Inc
AAL,2020-07-02,13.35,13.42,12.42,12.5,12.5,86439500,American Airlines Group Inc
AAL,2020-07-06,12.8,12.92,12.21,12.8,12.8,79312900,American Airlines Group Inc
AAL,2020-07-07,12.51,12.54,11.91,11.91,11.91,77998100,American Airlines Group Inc
AAL,2020-07-08,11.6,12.08,11.43,11.99,11.99,85034500,American Airlines Group Inc
AAL,2020-07-09,11.94,11.94,11.15,11.18,11.18,77131200,American Airlines Group Inc
AAL,2020-07-10,11,11.95,10.98,11.94,11.94,90450800,American Airlines Group Inc
AAL,2020-07-13,12.13,12.27,11.45,11.63,11.63,67580300,American Airlines Group Inc
AAL,2020-07-14,11.32,11.84,11.22,11.57,11.57,49888200,American Airlines Group Inc
AAL,2020-07-15,12.45,13.48,12.21,13.44,13.44,135444400,American Airlines Group Inc
AAL,2020-07-16,12.8,13.07,12.29,12.45,12.45,81514000,American Airlines Group Inc
AAL,2020-07-17,12.48,12.6,11.89,11.91,11.91,67934100,American Airlines Group Inc
AAL,2020-07-20,11.93,12.51,11.35,11.47,11.47,64109600,American Airlines Group Inc
AAL,2020-07-21,11.57,11.79,11.28,11.47,11.47,64509800,American Airlines Group Inc
AAL,2020-07-22,11.38,11.67,11.3,11.36,11.36,42461300,American Airlines Group Inc
AAL,2020-07-23,11.27,12.41,11.01,11.77,11.77,115574800,American Airlines Group Inc
AAL,2020-07-24,11.67,11.82,11.34,11.39,11.39,53761400,American Airlines Group Inc
AAL,2020-07-27,11.48,11.79,11.18,11.39,11.39,69451700,American Airlines Group Inc
AAL,2020-07-28,11.37,12,11.36,11.77,11.77,62356600,American Airlines Group Inc
AAL,2020-07-29,11.8,11.92,11.3,11.4,11.4,52214600,American Airlines Group Inc
AAL,2020-07-30,11.22,11.39,11.12,11.18,11.18,40525100,American Airlines Group Inc
AAL,2020-07-31,11.16,11.25,10.8,11.12,11.12,51691400,American Airlines Group Inc
